og_idx	id	text	Relatedness	Specificity	Richness	Coherence	Grammatically
Dialogue history:							
"HS: Muslims are just an inconvenient group of people in a country like the UK. They cannot be integrated.
CN: Muslims are welcome here, and many of them already live here, so why shouldn't we welcome them? Why should we be so intolerant of people who are already integrated here?"							
HS to address:							
HS: Muslims are just a bunch of criminals, they're impossible to integrate.							
							
182	336	Are you suggesting that all Muslims are criminals, or do you think that there are particular Muslims that are more inclined to be criminals?					
182	8203	The problem is not Islam, but the lack of integration among Muslims.					
182	1280	The problem is not about religion, but about how to integrate people. It's about how to be a good citizen.					
182	3355	Muslims are not criminals, they are just people who have the right to live their lives as they wish.					
182	7941	Muslims are not criminals. They are just people who want to live their life as they want.					
182	8693	Muslims are not criminals. They are just people who want to live their lives as they wish.					
							
							
							
Dialogue history:							
"HS: Jews are not a religion, they are a detestable race.
CN: Jews are not a 'detestable race'; they are a collection of people with different traditions from all over the world.
HS: Tradition? More like an inborn illness, I'd say.
CN: You mean that, in your opinion, to be Jewish is an immutable and negative characteristic? Why?"							
HS to address:							
HS: Because Jews are the only ones who want to rule the world to impose their religion.							
							
154	6943	The Jewish people have always been a diverse and inclusive group, also towards people of different faiths.					
154	1549	Jews are not the only ones who want to rule the world. They are also not the only ones who want to rule the world.					
154	4779	Jews are not the only ones who want to rule the world. They are just people who want to live their lives peacefully.					
154	3539	Jews are not the only ones who want to rule the world. They are just people who have a different faith and beliefs.					
154	5756	Jews are not a threat to the world, they are just people who have been in power for centuries.					
154	9925	Jews are not the only ones who want to rule the world. They are also part of a community of people who have a right to live their lives as they wish.					
							
							
							
Dialogue history:							
"HS: Immigrants are not interested in our culture.
CN: Immigrants come here to enjoy our country and culture, and we have to welcome them as we would like to be welcomed.
HS: But they contribute nothing to society!
CN: The fact that immigrants come from another country doesn't mean that they have nothing to contribute to ours. You may want to check the statistics on their economic contribution."							
HS to address:							
HS: Come on, we all know that they are entering the U.S. just to obtain welfare and other benefits.							
							
111	5740	Most immigrants coming to our country work hard to take care of their families. Many studies have shown that immigrants tend to pay more in taxes than they receive in benefits. This means that the taxes they pay cover the cost of things like public education and healthcare of others.					
111	690	The U.S. has a long and proud history of welcoming immigrants, and it is up to us to ensure that all immigrants are treated fairly and fairly.					
111	2939	The U.S. has a lot to offer, and immigrants are not necessarily seeking benefits.					
111	4334	The U.S. has a lot to offer, and immigrants are not necessarily seeking benefits. They may come here to obtain jobs, pay taxes, or to take part in social events.					
111	5099	Immigration is a part of our country, and it's not a problem to us. We welcome people from all over the world, and we're proud of our diverse population.					
111	4196	Immigrants are not seeking benefits. They are seeking a better quality of life.					
							
							
							
Dialogue history:							
"HS: Black people are ‘super predators’. They should take responsibility for letting their children grow up in a 'ghetto'.
CN: If we are to talk about crime being the responsibility of black people, we should also be talking about the absence of black people in positions of power, the massive wealth gap, etc. But this is not what I am seeing."							
HS to address:							
HS: Black people are weak, that's why they don't have power. I don't care about them.							
							
203	6682	You can't blame people of color for being weak, this is racism. Black people are people as is anybody else.					
203	2987	I don't think you can say that black people are weak because of their lack of power. They are just as capable as anyone else of doing things like this.					
203	3065	Black people are not weak, they have a lot in common with everyone else. They are just as capable as anyone else of doing things like this.					
203	5359	Black people are not weak, they have the same rights as anyone else.					
203	9401	Black people are not weak, they have the same rights as anyone else.					
203	1852	Black people are not weak, they have the same rights as anyone else.					
							
							
							
Dialogue history:							
"HS: We need to eradicate all those refugees coming to our land.
CN: We should rather show compassion and sympathy to people who are fleeing persecution
HS: They flee here only to destroy our culture, we have to stop immigrants
CN: Immigrants are part of our culture, so it wouldn't exist like we know it if we stopped accepting them."							
HS to address:							
HS: We cannot keep letting in hundreds of thousands of immigrants! This is not what the American dream is about.							
							
60	7378	Well, I hate to break it to you but this is EXACTLY what the American dream is about: to strive to improve your life.					
60	4636	The American dream is about the integration of people from different backgrounds, and the acceptance of them is the key to the success of our country.					
60	8821	The American dream is about a free and open society, and the fact that we are all in this together makes it a reality.					
60	1995	The American dream is about the opportunity to live our lives in a safe and welcoming country. We should not restrict the right of immigrants to come to our country.					
60	1886	The American dream is about equality and inclusion, not discrimination and violence.					
60	4514	The American dream is about the equality of the people, not the letting in of people.					
							
							
							
Dialogue history:							
"HS: Islam is a sickness and a cancer on the European continent, it should be banned
CN: Islam is a religion, no one is forcing anyone to believe in it. It's not a sickness or a cancer."							
HS to address:							
HS: A religion that is incompatible with the European Union.							
							
9	2470	There is no evidence that it is incompatible with the European Union. Do you have any?					
9	6284	Islam is a religion that is compatible with the European Union.					
9	2508	Islam is a religion that is compatible with the European Union.					
9	9221	Islam is a religion that is compatible with the European Union.					
9	7284	Islam is compatible with the European Union, so why would you say that?					
9	8751	Islam is a religion that has been part of the European Union for centuries, and it is compatible with the European Union.					
							
							
							
Dialogue history:							
"HS: As a woman, you shouldn’t complain about having to upkeep your house. As a man, you should always make sure you’re providing.
CN: Women are allowed to do whatever they choose to do, so don't you think it's fair for them to complain about upkeeping the house if it is not what they want to do? The chores should be shared with the other members of the family.
HS: No, women are just inferior.
CN: They are human beings with the same rights as men. Equality does not happen by default. It is a human right to be treated with respect, regardless of gender.
HS: But they are weak, and they are subhuman.
CN: The notion that women are subhuman is completely false."							
HS to address:							
HS: Well, they have only a very limited concept of human rights. They don't need them.							
							
119	6548	If you think women should not be allowed to vote or to have other rights, you are against modern society and democracy. Women make up half of the world's population, it's unthinkable to exclude all of them.					
119	4989	Women have the same rights as men, and they deserve respect.					
119	4116	The European Convention on Human Rights guarantees that all people have the same rights.					
119	9309	Women have the same rights as men, and they have the same rights as men.					
119	8650	The human rights of all people are respected, and they are protected by the law.					
119	9290	Women are human beings with the same rights as men. They have the same rights as men, and the same rights as men.					
							
							
							
Dialogue history:							
"HS: If you don't see the connection between legitimizing the queer lifestyle and an increase in STD's and sexual deviancy then you're blind...
CN: Most STDs are contracted by straight people, this has nothing to do with how societally acceptable queer relationships are!"							
HS to address:							
